types,c_years,o_periods,s_months,incidents,log_s_months
1,1,1,127.0,0.0,4.84
1,1,2,63.0,0.0,4.14
1,2,1,1095.0,3.0,7.0
1,2,2,1095.0,4.0,7.0
1,3,1,1512.0,6.0,7.32
1,3,2,3353.0,18.0,8.12
1,4,1,911.0,3.0,6.81
1,4,2,2244.0,11.0,7.72
2,1,1,44882.0,39.0,10.71
2,1,2,17176.0,29.0,9.75
2,2,1,28609.0,58.0,10.26
2,2,2,20370.0,53.0,9.92
2,3,1,7064.0,12.0,8.86
2,3,2,13099.0,44.0,9.48
2,4,1,26852.0,36.0,10.2
2,4,2,7117.0,18.0,8.87
3,1,1,1179.0,1.0,7.07
3,1,2,552.0,1.0,6.31
3,2,1,781.0,0.0,6.66
3,2,2,676.0,1.0,6.52
3,3,1,783.0,6.0,6.66
3,3,2,1948.0,2.0,7.57
3,4,1,914.0,2.0,6.82
3,4,2,274.0,1.0,5.61
4,1,1,251.0,0.0,5.53
4,1,2,105.0,0.0,4.65
4,2,1,288.0,0.0,5.66
4,2,2,192.0,0.0,5.26
4,3,1,349.0,2.0,5.86
4,3,2,1208.0,11.0,7.1
4,4,1,296.0,1.0,5.69
4,4,2,2051.0,4.0,7.63
5,1,1,45.0,0.0,3.81
5,1,2,1047.0,7.0,6.95
5,2,1,789.0,7.0,6.67
5,2,2,437.0,7.0,6.08
5,3,1,1157.0,5.0,7.05
5,3,2,2161.0,12.0,7.68
5,4,1,664.0,4.0,6.5
5,4,2,542.0,1.0,6.3
